Nombre Original,Nombre Sugerido,Categoria,Justificacion Biologica
Elongation complex,transcriptional_condensate,Nuclear,Complejo de elongación SEC forma condensados por LLPS en sitios de activación transcripcional [PMID:32270036]
enhanceosome,enhanceosome,Nuclear,Complejo proteína-DNA en enhancer; distinto del transcriptional condensate canónico por su composición definida
enhancer condensate,enhancer_condensate,Nuclear,Condensado de ARNm enhancer (eRNP) con propiedades de fase separada; distinto del mediator condensate [PMID:32434105]
euchromatin,chromatin_compartment,Nuclear,Fase activa de la cromatina; colapsada en chromatin_compartment con heterochromatin
extracellular matrix,DISCARD,—,Matriz extracelular; no es un MLO
Ftsz-rich droplets at specific chromosomal DNA sites,ftsz_droplet,Procariota,Droplets de FtsZ en sitios cromosómicos bacterianos; condensado procariota específico
galectin complex,galectin_lattice,Membrana,Complejo homodímerizante de galectinas; agrupa con galectin lattice por ser la misma red molecular
galectin lattice,galectin_lattice,Membrana,Red de galectinas en superficie celular que forma fase separada [PMID:15476813]
Gemini of cajal body,gem,Nuclear,No contiene snRNPs; relacionado con complejo SMN; distinto del Cajal body [PMID:28577509]
Gems,gem,Nuclear,Sinónimo de Gemini of cajal body
germ plasm,germ_plasm,Germinal,Citoplasma diferenciado germinal; incluye polar granules y equivalentes en distintos organismos
Germ plasm,germ_plasm,Germinal,Variante de capitalización
Glycolytic body,glycolytic_body,Citoplasmático,Condensado de enzimas glicolíticas en hipoxia; hidrogel-like; distinto de stress granule [PMID:32298230]
Golgin condensate,golgin_condensate,Citoplasmático,Condensados de golgins periféricos al Golgi por LLPS [PMID:32668013]
granular component,nucleolus,Nuclear,Subestructura del nucleolo; colapsada
GW-body,p_body,Citoplasmático,Sinónimo basado en GW182; comparte componentes y función con P-body [PMID:26930655]
Heterochromatin,heterochromatin,Nuclear,Cromatina compacta transcripcionalmente silente; HP1α forma condensados [PMID:28636597]
heterochromatin,heterochromatin,Nuclear,Variante de caja baja
Histone locus body,histone_locus_body,Nuclear,Subnúcleo de procesamiento de pre-ARNm de histonas; distinto de Cajal body [PMID:20504965]
Htt inclusion,inclusion_body,Patológico,Inclusiones de huntingtina mutante; agrega con inclusion_body como categoría patológica
Hyperosmotic shock foci,hyperosmotic_shock_foci,Citoplasmático,Focos transientes en respuesta a choque hiperosmótico; biológicamente distintos del SG [PMID:31285266]
IMP1 ribonucleoprotein granule,neuronal_granule,Neuronal,Gránulo de RNP de IMP1 en células en movimiento; composición similar a granulo neuronal [PMID:17289661]
inclusion body,inclusion_body,Patológico,Cuerpos de inclusión intracelulares; agrupa inclusiones virales y patológicas
Inclusion body,inclusion_body,Patológico,Variante de capitalización
insulator body,insulator_body,Nuclear,Focos nucleares de insuladores de cromatina en respuesta a estrés osmótico [PMID:23878275]
Integrin adhesion complex,integrin_adhesion_complex,Membrana,Complejo de adhesión de integrina que forma condensados por LLPS [PMID:35049497]
intracellular DNA/protein granule,intracellular_dna_protein_granule,Citoplasmático,Gránulo citoplasmático de DNA/proteína; término genérico sin equivalente más específico
intracellular non-membrane-bounded organelle,DISCARD,—,Término GO estructural genérico; no es un MLO específico
L-body,l_body,Germinal,Gránulo de transporte de ARNm en oocitos de Xenopus; distinto de otros granulos de ARNm [PMID:34613784]
LAT signalosome,t_cell_signalosome,Membrana,Componente LAT del signalosoma de célula T; mismo condensado funcional que TCR signalosome
liquid-like DYRK3 speckles,liquid_dyrk3_speckle,Nuclear/Mitótico,Speckles de DYRK3 que disuelven múltiples MLOs durante mitosis; condensado regulatorio distinto
mediator condensate,mediator_condensate,Nuclear,Condensado de Mediador en super-enhancers; composición distinta del transcriptional condensate [PMID:31391587]
membrane cluster,signaling_cluster,Membrana,Agrupamiento genérico de moléculas en membrana; agrupa con receptor cluster
micro-ribonucleoprotein complex,mirisc,Citoplasmático,Complejo miRISC; silenciamiento de ARNm por miRNA
Microtubule,DISCARD,—,Estructura del citoesqueleto; no es un MLO aunque proteínas de LLPS se asocien a él
miRISC,mirisc,Citoplasmático,Complejo de silenciamiento por miRNA mediado por Argonauta [PMID:29576456]
mitochondrial cloud,balbiani_body,Germinal,Sinónimo del cuerpo de Balbiani en Xenopus [PMID:6541166]
Mitochondrial nucleoid,mitochondrial_nucleoid,Mitocondrial,Nucleoide mitocondrial; condensado de mtDNA con TFAM [PMID:34711968]
Mitochondrial RNA granule,mitochondrial_rna_granule,Mitocondrial,Gránulo de ARN mitocondrial; procesamiento postranscripcional y biogénesis de ribosomas mitocondriales
MORC3-NBs,morc3_nuclear_body,Nuclear,Cuerpos nucleares de MORC3; subestructura nuclear distinta sin equivalente conocido
Mutator foci,mutator_foci,Germinal,Focos perinucleares de amplificación de siRNA en línea germinal de C. elegans [PMID:30036386]
mutator focus,mutator_foci,Germinal,Variante singular; mismo MLO
Negri body,negri_body,Viral,Cuerpos de Negri del virus de la rabia; fábrica viral con propiedades de condensado líquido [PMID:28680096]
neuron projection,DISCARD,—,Término GO de morfología neuronal; no es un MLO
Neuronal granule,neuronal_granule,Neuronal,Gránulo de transporte de ARNm en neuronas; distinto de SG aunque comparte componentes [PMID:25110026]
neuronal ribonucleoprotein granule,neuronal_granule,Neuronal,Sinónimo de neuronal granule en terminología de PhasePro
NPR1 Condensate,npr1_condensate,Citoplasmático,Condensado de NPR1 inducido por ácido salicílico en plantas; específico de respuesta inmune vegetal [PMID:32810437]
Nuage,nuage,Germinal,Material granulofibrilar perinuclear en células germinales; distinto de P granule aunque relacionado [PMID:21768607]
nuclear bodies that occur at super enhancers in mESCs,enhancer_condensate,Nuclear,Cuerpos nucleares en super-enhancers de células madre; equivalente al enhancer condensate
nuclear body,nuclear_body,Nuclear,Término genérico para cuerpos nucleares no clasificados en categoría más específica
Nuclear body,nuclear_body,Nuclear,Variante de capitalización
Nuclear dicing body,nuclear_dicing_body,Nuclear,D-body de plantas; condensado de procesamiento de miRNA [PMID:33288888]
nuclear pore central transport channel,nuclear_pore_complex,Nuclear,Canal central del NPC formado por FG-nucleoporinas por hidrogel-like phase separation; agrupa con NPC
Nuclear pore complex,nuclear_pore_complex,Nuclear,Complejo de poro nuclear; canal central con propiedades de condensado [PMID:26614874]
nuclear protein granule,nuclear_protein_granule,Nuclear,Gránulo proteico nuclear genérico; mantener como catch-all
nuclear speck,nuclear_speckle,Nuclear,Sinónimo antiguo de nuclear speckle [PMID:28977640]
Nuclear speckle,nuclear_speckle,Nuclear,Speckle nuclear de factores de splicing [PMID:28977640]
nuclear speckle,nuclear_speckle,Nuclear,Variante de caja baja
Nuclear stress body,nuclear_stress_body,Nuclear,Inducido por HSF1 y SatIII RNA en respuesta a heat shock; nuclear y distinto del SG [PMID:20516127]
Nucleolus,nucleolus,Nuclear,Sitio de biogénesis ribosomal organizado en tres fases por LLPS [PMID:29779866]
nucleolus,nucleolus,Nuclear,Variante de caja baja
obsolete cytoskeletal part,DISCARD,—,Término GO obsoleto; no aplicable
OPT domain,opt_domain,Nuclear,Dominio Oct1/PTF/transcripción en fase G1; condensado nuclear específico de transcripción [PMID:9501098]
Oskar granule,oskar_granule,Germinal,Gránulo de ARNm de oskar en Drosophila; comportamiento sólido in vivo [PMID:35325593]
Others,NULL,—,Entradas sin MLO asignado en DrLLPS; descartar
P-body,p_body,Citoplasmático,Cuerpo de procesamiento de ARNm [PMID:31626750]
P body,p_body,Citoplasmático,Variante de espacio
P-bodies,p_body,Citoplasmático,Variante plural
p62 body,p62_body,Citoplasmático,Condensado de p62 dependiente de poliubiquitina [PMID:29343546]
p62 cluster,p62_body,Citoplasmático,Variante sintáctica
P granule,p_granule,Germinal,Gránulo germinal de C. elegans; condensado RNP perinuclear [PMID:30096346]
Par complex,polarity_condensate,Neuronal,Condensado de polaridad Par3/Par6 en neuroblastos [PMID:32385244]
ParABS,parabs_condensate,Procariota,Sistema de partición plasmídica bacteriano por LLPS [PMID:34902429]
Paraspeckle,paraspeckle,Nuclear,Cuerpo nuclear mamífero-específico organizado por NEAT1 lncRNA [PMID:29289458]
paraspeckle,paraspeckle,Nuclear,Variante de caja baja
paraspeckles,paraspeckle,Nuclear,Variante plural
PcG body,polycomb_body,Nuclear,Cuerpo de proteínas Polycomb; agrupa con Polycomb body [PMID:31171700]
PcG chromatin condensates,polycomb_body,Nuclear,Condensados de cromatina de PcG; mismo MLO que PcG body
PcG protein complex,DISCARD,—,Complejo proteico de Polycomb; no es un MLO sino la maquinaria molecular. Término GO
pericentriolar material,centrosome,Citoesqueleto,PCM es el componente condensado del centrosoma [PMID:34308971]
Pericentriolar matrix,centrosome,Citoesqueleto,Sinónimo de pericentriolar material
Perinucleolar compartment,perinucleolar_compartment,Nuclear,Compartimento perinucleolar en células transformadas; distinto del nucleolo [PMID:205638885]
pi-body,pi_body,Germinal,Estructura PIWIL2-TDRD1 en gonocitos; dedicada a piRNA primario [PMID:20011505]
PML body,pml_nuclear_body,Nuclear,Sinónimo de PML nuclear body [PMID:10944585]
PML nuclear body,pml_nuclear_body,Nuclear,Cuerpo nuclear de PML; regulado por SUMOilación [PMID:17928811]
Polarisome,polarisome,Citoesqueleto,Centro de nucleación de cables de actina en levaduras; condensado de polaridad [PMID:31699995]
POLII clusters,transcriptional_condensate,Nuclear,Clusters de Pol II en sitios de transcripción activa; agrupa con transcriptional condensate
Polycomb body,polycomb_body,Nuclear,Condensado nuclear de PRC1 por LLPS de CBX2 [PMID:31171700]
postsynaptic density,postsynaptic_density,Neuronal,Densidad postsináptica; condensado proteico subyacente a la membrana postsináptica [PMID:32015539]
Postsynaptic density,postsynaptic_density,Neuronal,Variante de capitalización
Pre-autophagosomal structure,pre_autophagosomal_structure,Citoplasmático,PAS en levaduras; condensado líquido de proteínas Atg [PMID:32025038]
Presynaptic active zone condensate,presynaptic_active_zone,Neuronal,Condensado de zona activa presináptica; RIM/RIM-BP forman condensados [PMID:30661983]
presynaptic cytosol,presynaptic_active_zone,Neuronal,Citosol presináptico; agrupa con presynaptic active zone como localización del mismo condensado
Proteasome containing foci,proteasome_foci,Nuclear,Focos nucleares de proteasoma en estrés hiperosmótico; condensado proteolítico [PMID:32386541]
protein-containing complex,DISCARD,—,Término GO genérico; no es un MLO
protein complex involved in cell-cell adhesion,DISCARD,—,Término GO de adhesión celular; no es un MLO
Purinosome,purinosome,Citoplasmático,Condensado de enzimas de biosíntesis de purinas; hidrogel-like [PMID:35307352]
pyrenoid,pyrenoid,Plastídico,Orgánulo no membranoso en cloroplastos de algas para fijación de CO2 [PMID:23345319]
Pyrenoid matrix,pyrenoid,Plastídico,Matriz del pirenoide; agrupa con pyrenoid
Receptor cluster,signaling_cluster,Membrana,Agrupamiento de receptores en membrana [PMID:22404929]
Replication compartment,replication_compartment,Viral/Nuclear,Compartimento de replicación viral intranuclear con propiedades de condensado líquido [PMID:34578359]
ribonucleoprotein complex,DISCARD,—,Término GO genérico de complejo RNP; no es un MLO específico
RISC complex,mirisc,Citoplasmático,Complejo RISC/miRISC de silenciamiento
"RNA polymerase II, holoenzyme",transcriptional_condensate,Nuclear,Holoenzima de Pol II en hubs transcripcionales; agrupa con transcriptional condensate
robustly E2-activated enhancers (MegaTrans) enhancers,enhancer_condensate,Nuclear,Enhancers MegaTrans activados por E2; condensados de enhancer [PMID:32434105]
Rosenthal fiber,rosenthal_fiber,Patológico,Inclusiones de GFAP en astrocitos en Alexander disease [PMID:27193225]
Sam68 nuclear bodies (SNBs),sam68_nuclear_body,Nuclear,SNBs de Sam68; cuerpos nucleares de splicing regulado por señalización
Sam68 nuclear body,sam68_nuclear_body,Nuclear,Variante singular
SARS-CoV-2 N condensate,sars_cov2_n_condensate,Viral,Condensado del nucleocápside de SARS-CoV-2 con ARN viral [PMID:32901111]
Sec body,sec_body,Citoplasmático,Cuerpo de salida del RE en inanición de aminoácidos en Drosophila [PMID:34350957]
selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,nuclear_pore_complex,Nuclear,Hidrogel de FG-nucleoporinas en el canal central del NPC; agrupa con nuclear_pore_complex
SINT-speckle,sint_speckle,Citoplasmático,Speckle citoplasmático de SINTBAD/TBK1 en respuesta a estrés [PMID:31442668]
siRNA body,sirna_body,Citoplasmático,Gránulo de ARN asociado a síntesis de tasiRNA; en plantas [PMID:29312371]
Slit diaphragm condensate,slit_diaphragm_condensate,Membrana,Condensado del diafragma de la hendidura en podocitos [PMID:34330769]
small RNA amplification complex,mutator_foci,Germinal,Complejo de amplificación de siRNA; equivalente funcional a los mutator foci
SMN complex,smn_complex,Nuclear/Citoplasmático,Complejo SMN en citoplasma y Cajal bodies; involucrado en ensamblaje de snRNP [PMID:19928837]
Spindle apparatus,spindle_apparatus,Citoesqueleto,Aparato del huso; proteínas como BuGZ forman condensados que concentran tubulina [PMID:26388440]
spindle matrix,spindle_apparatus,Citoesqueleto,Matriz proteinácea que embebe el huso; sinónimo funcional del spindle apparatus
Spindle pole,spindle_pole_body,Citoesqueleto,Referencia al polo del huso en contexto fúngico/levadura; equivalente al SPB. Ver spindle_pole_body.
Splicesome,spliceosome,Nuclear,Maquinaria de splicing; forma condensados dinámicos [PMID:21441581]
Sponge body,sponge_body,Germinal,Estructura de 500-3000 nm en nurse cells y oocitos de Drosophila; composición distinta del P-body canónico [PMID:19301391]
SPOP/DAXX body,spop_daxx_body,Nuclear,Cuerpo nuclear de SPOP y DAXX; condensado nuclear sin equivalente más general conocido
Std1 bodies,std1_body,Citoplasmático,Cuerpos de Std1 en levaduras; condensados de respuesta a glucosa
STING phase-separator,sting_phase_separator,Citoplasmático,Biocondensado de STING-TBK1 que regula inmunidad innata [PMID:33833429]
Stress granule,stress_granule,Citoplasmático,Gránulo de RNP citoplasmático canónico [PMID:28669985]
Stress granules,stress_granule,Citoplasmático,Variante plural
stress_granule,stress_granule,Citoplasmático,Normalización sintáctica
cytoplasmic stress granule,stress_granule,Citoplasmático,Variante con localización explícita
sress-granule,stress_granule,Citoplasmático,Corrección tipográfica
Sup35 condensate,sup35_condensate,Citoplasmático,Condensado del factor de terminación Sup35 en levaduras; prion-like
Synapsin condensate,synapsin_condensate,Neuronal,Condensado de sinapsina que organiza vesículas sinápticas [PMID:32101738]
synaptosome,DISCARD,DISCARD,Sinaptosome es una estructura con membrana plasmática; no es un MLO. Entrada malformada con canonical con espacio.
TAM body,tam_body,Nuclear,Cuerpo TAM en mitosis de S. cerevisiae; contiene RNase MRP [PMID:2023224973]
Tau condensate,tau_condensate,Neuronal,Condensado de Tau; microtúbulos y patología neurodegenerativa [PMID:32096048]
TCR signalosome,t_cell_signalosome,Membrana,Signalosoma del TCR [PMID:22426112]
LAT signalosome,t_cell_signalosome,Membrana,Componente LAT; mismo condensado
TIS granule,tis_granule,Citoplasmático,Red reticular asociada al RE; distinta del SG esférico en morfología [PMID:32719076]
Transcriptional condensate,transcriptional_condensate,Nuclear,Condensado transcripcional en enhancers; TFs con PrLD [PMID:32386547]
U body,u_body,Citoplasmático,Cuerpo de U snRNPs en citoplasma; sitio de ensamblaje antes del import nuclear [PMID:2020452345]
UBQLN puncta,ubqln_puncta,Citoplasmático,Puncta de ubiquilinas; condensados de homeostasis proteica [PMID:30333186]
viroplasm,viroplasm,Viral,Fábrica viral de rotavirus; condensado líquido de NSP2/NSP5 [PMID:34372555]
Viroplasm,viroplasm,Viral,Variante de capitalización
viroplasm viral factory,viroplasm,Viral,Variante de PhasePro para el mismo condensado viral
cytoplasmic viral factory,viral_factory,Viral,Fábrica viral citoplasmática genérica; distintas de viroplasm específico
Yb body,yb_body,Germinal,Foco perinuclear de biogénesis de piRNA en células somáticas de ovario en Drosophila [PMID:31267711]
Z granule,z_granule,Germinal,Gránulo Z en línea germinal de C. elegans; se demixing del P granule en blastómero P4 [PMID:33438773]
ZO protein compartment,zo_protein_compartment,Membrana,Compartimento de proteínas ZO en tight junctions [PMID:31675499]
in vitro droplet,in_vitro_droplet,In vitro,LLPS determinado exclusivamente in vitro
Others,NULL,—,Sin MLO asignado; descartar
_,NULL,—,Entrada vacía; descartar
nuclear bodies that occur at super enhancers in mESCs,enhancer_condensate,Nuclear,Cuerpos en super-enhancers de mESCs; equivalente al enhancer condensate
Mitochondrial cloud,balbiani_body,Germinal,Sinónimo del cuerpo de Balbiani en Xenopus
+TIP,spindle_apparatus,Citoesqueleto,Proteína de punta de microtúbulo; forma condensados en extremos de microtúbulos
+TIP body,spindle_apparatus,Citoesqueleto,Cuerpo de proteínas +TIP; variante nomenclatural
53BP1 Mitotic Stress Body (MSBs),dna_damage_foci,Nuclear,Focos de 53BP1 en estrés mitótico; variante de DNA damage foci en mitosis
A-bodies,nuclear_stress_body,Nuclear,Cuerpos A inducidos por acidificación; condensados nucleares de ARN no codificante relacionados con nuclear stress bodies
ABC transporter condensate,bacterial_rnp_body,Procariota,Condensado de transportador ABC en bacterias; condensado procariota
Actin nucleator,actin_cortical_patch,Citoesqueleto,Nucleador de actina; condensado de nucleación; agrupa con actin_cortical_patch
AFAP1-AS1 condensates,nuclear_speckle,Nuclear,AFAP1-AS1 regula splicing alternativo reclutando factores de splicing como nuclear speckles; más cercano a nuclear_speckle que a nuclear_body genérico [CDCODE]
Aggresome,aggresome,Citoplasmático,Estructura perinuclear de proteínas ubiquitinadas mal plegadas; condensado hidrogel-like de control de calidad proteica
Als5p amyloid,amyloid_aggregate,Citoplasmático,Agregado amiloide de Als5p en levaduras; estructura sólida no dinámica
ALYREF condensates,nuclear_speckle,Nuclear,Condensados de ALYREF (factor de exportación de ARNm); asociado a nuclear speckles
Ankle Link Complex (ALC) Condensate,ankle_link_condensate,Membrana,Condensado del complejo de unión entre estereocilios en células ciliadas del oído interno
ArgBP2 dendritic spine condensate,postsynaptic_density,Neuronal,Condensado de ArgBP2 en espinas dendríticas; componente de la densidad postsináptica
Arsenite-induced Necrosome,necrosome,Citoplasmático,Complejo de necroptosis inducido por arsenito; condensado de RIPK3/MLKL
Assemblysome,assemblysome,Nuclear,Condensado nuclear de ensamblaje de complejos RNP; descrito en biogénesis viral
ATG condensate,pre_autophagosomal_structure,Citoplasmático,Condensado de proteínas ATG; equivalente al pre-autophagosomal structure (PAS)
ATG4B condensate,pre_autophagosomal_structure,Citoplasmático,Condensado de ATG4B; parte del sistema de autofagia
BAG2,proteasome_foci,Nuclear,BAG2 condensate facilita degradación por proteasoma 20S independiente de ubiquitina bajo estrés hiperosmótico; no es un aggresome sino un condensado de control de calidad proteica similar a proteasome_foci [CDCODE]
BAZ2A bodies,baz2a_body,Nuclear,Cuerpos nucleares de BAZ2A; asociados a heterocromatina pericentromérica y silenciamiento de ARN ribosomal
Beta-Catenin Destruction Complex,wnt_destruction_complex,Citoplasmático,"Condensado citoplasmático del estado Wnt-OFF, nucleado en el centrosoma. Físicamente distinto del signalosoma de Wnt en membrana (estado Wnt-ON). Composición, localización y función opuestos al DVL/signalosoma. [CDCODE: PMID:34711968]"
Birc5b assembly,spindle_apparatus,Citoesqueleto,Ensamblaje de Birc5b (survivina); proteína del chromosomal passenger complex asociada al huso
BMP2K condensate,signaling_condensate,Citoplasmático,Condensado de quinasa BMP2K; condensado de señalización sin equivalente más específico
BR-body,bacterial_rnp_body,Procariota,BR-body bacteriano (bacterial RNP body); ya cubierto como bacterial_rnp_body
BRD4 condensate,transcriptional_condensate,Nuclear,Condensado de BRD4 en super-enhancers; componente del transcriptional condensate
cBAF condensate,transcriptional_condensate,Nuclear,Condensado del complejo remodelador cBAF (SWI/SNF); activa cromatina por LLPS
CCR4-NOT1 complex,p_body,Citoplasmático,Complejo CCR4-NOT1 de deadenilación; componente central de P-bodies
Ccer1 condensate,nuclear_body,Nuclear,Condensado de Ccer1 en espermatocitos; nuclear body específico de línea germinal masculina
CEBPZ condensates,transcriptional_condensate,Nuclear,Condensados de CEBPZ; factor de transcripción asociado a cromatina activa
Chloroplast Stress granule,chloroplast_stress_granule,Plastídico,Gránulo de estrés de cloroplasto en plantas; análogo al stress granule en compartimento plastídico
Chromogranin condensates,chromogranin_condensate,Citoplasmático,Condensados de cromograninas en vesículas de secreción neuroendocrinas
c‐Maf condensates,transcriptional_condensate,Nuclear,Condensados del factor de transcripción c-Maf; condensado transcripcional en células B
Cobl condensate,actin_cortical_patch,Citoesqueleto,Condensado de Cobl (nucleador de actina lineal); agrupa con actin_cortical_patch
Cojusome,cojusome,Citoplasmático,Condensado de proteínas de conjugación en Giardia; MLO específico de parásito
Contractile ring condensate,contractile_ring,Citoesqueleto,Variante de nombre del contractile ring
CPEB4 granule,cytoplasmic_rnp_granule,Citoplasmático,Gránulo de CPEB4; RNP granule de control traduccional en oocitos
Cpeb1b-Pabpc1b-shh Condensate,cytoplasmic_rnp_granule,Citoplasmático,Condensado de CPEB1b con PABP y ARNm shh en zebrafish; RNP granule de control traduccional
CRY2/SPA1/FIO1 condensate,plant_photobody,Vegetal,Condensado de fotorreceptor CRY2 con SPA1 en plantas; relacionado con plant photobody
Cytoplasmic bodies,cytoplasmic_protein_granule,Citoplasmático,Cuerpos citoplasmáticos genéricos; término catch-all en CDCODE
D-granule,d_granule,Citoplasmático,D-gránulo (dense granule) en plaquetas; gránulo de secreción especializado
DDR1 condensate,hippo_condensate,Membrana,"DDR1 en células musculares lisas vasculares contrarresta específicamente la vía YAP-Hippo inducida por rigidez/colágeno; es un modulador de Hippo, no signaling_condensate genérico [CDCODE]"
Ddx3xb condensates,cytoplasmic_rnp_granule,Citoplasmático,Condensados de Ddx3xb; helicasa DEAD-box en gránulos de ARN citoplasmáticos
Degradosome,degradosome,Procariota,Degradosoma bacteriano; complejo de degradación de ARN que forma condensados en E. coli
DHX9 Stress Granules,stress_granule,Citoplasmático,Gránulos de estrés enriquecidos en DHX9; variante composicional del stress granule
Dishevelled condensate,wnt_signaling_condensate,Citoplasmático,"Condensado de DVL2/Dishevelled en estado Wnt-ON; controla ensamblaje del receptor signalosoma. Se mantiene en wnt_signaling_condensate, distinto del wnt_destruction_complex."
Dps condensate,dps_condensate,Procariota,Condensado de proteína Dps (DNA protection during starvation) en bacterias
DVL2 condensates,wnt_signaling_condensate,Citoplasmático,"Condensado de DVL2 activado por ubiquitinación K63; activa señalización Wnt disrumpiendo el complejo de destrucción. Estado Wnt-ON; se mantiene en wnt_signaling_condensate, distinto del wnt_destruction_complex."
DYRK3 speckle,liquid_dyrk3_speckle,Nuclear/Mitótico,Speckle de DYRK3; disuelve múltiples MLOs durante mitosis
EB1F condensate,spindle_apparatus,Citoesqueleto,Condensado de EB1F (end-binding protein); proteína +TIP; agrupa con spindle_apparatus
eIF5B granules,stress_granule,Citoplasmático,Gránulos de eIF5B; factor de iniciación traduccional reclutado en stress granules
Elastin granule,elastin_granule,Extracelular,Gránulo de tropoelastina antes de secreción; condensado coacervado en vía secretora
ELVA,elva,Nuclear,ELVA; condensado nuclear específico descrito en contexto de diferenciación
EML4-ALK condensates,signaling_condensate,Citoplasmático,Condensados de fusión EML4-ALK oncogénica; condensado de señalización patológico
Endocytic condensates,endocytic_condensate,Membrana,Condensados de componentes endocíticos
Enhancer cluster,enhancer_condensate,Nuclear,Cluster de enhancers activos; variante de enhancer condensate
Enzyme_shell proteins condensates,carboxysome,Procariota,Proteínas de capa de microcompartimentos bacterianos; condensado tipo carboxysome
ERES,eres_condensate,Citoplasmático,Sitios de salida del retículo endoplasmático; condensados de tráfico vesicular
ESCRTs,escrt_condensate,Membrana,Complejo ESCRT; forma condensados en membrana endosomal
eukaryotic topoisomerase ii,chromatin_compartment,Nuclear,"Topo II eucariota forma condensados sobre el supercoiling cromosómico a concentraciones fisiológicas; componente de organización de cromatina, no específicamente transcripcional [CDCODE]"
EWS-FLI1,transcriptional_condensate,Nuclear,Fusión oncogénica EWS-FLI1; forma condensados transcripcionales aberrantes
EWSR1 condensates,transcriptional_condensate,Nuclear,Condensados de EWSR1; proteína FUS-like que forma condensados transcripcionales
