source_name,unified_mlo,category,verdict,n_prot,resources,n_org,rationale
Gemini of cajal body,gem,Nuclear,correct,2,DrLLPS,1.0,'Gemini of coiled/Cajal bodies' is the original full name of gems.
Gems,gem,Nuclear,correct,1,PhaSepDB,1.0,Plural of gem.
Founder granule,germ_plasm,Germinal,correct,1,CDCODE,1.0,Founder granules are the germ-plasm assemblies of early Drosophila/zebrafish embryos.
germ plasm,germ_plasm,Germinal,correct,2,PhasePro,1.0,Case variant.
G-body,glycolytic_body,Citoplasmático,correct,5,CDCODE,1.0,G-bodies are the yeast glycolytic condensates.
PFK-1.1 condensates,glycolytic_body,Citoplasmático,correct,1,CDCODE,1.0,Phosphofructokinase condensates in C. elegans neurons; glycolytic body.
Glycolytic body,glycolytic_body,Citoplasmático,correct,9,PhaSepDB,3.0,Direct match.
Golgin condensate,golgin_condensate,Citoplasmático,correct,7,"CDCODE,PhaSepDB",1.0,Direct match.
Hippo signalosome,hippo_condensate,Membrana,correct,7,CDCODE,1.0,Hippo pathway signalosome; direct match to the canonical.
TAZ Condensate,hippo_condensate,Membrana,correct,8,CDCODE,1.0,TAZ/WWTR1 is a core Hippo effector forming transcriptional condensates.
Histone Locus Body,histone_locus_body,Nuclear,correct,15,CDCODE,4.0,"Case variant, but the 11 vs 15 protein counts indicate two near-duplicate records of one dataset."
Hypersomatic shock foci,hyperosmotic_shock_foci,Citoplasmático,correct,17,CDCODE,1.0,"Misspelling of 'hyperosmotic'; correctly unified, though the 17 vs 18 protein counts show the two spellings are near-duplicate records of one dataset that should be collapsed at ingestion."
INAVA condensates,inava_condensate,Citoplasmático,correct,1,CDCODE,1.0,Direct match.
IL-1b-induced INAVA condensates,inava_condensate,Citoplasmático,correct,1,CDCODE,1.0,Same condensate under a stimulus qualifier.
Htt inclusion,inclusion_body,Patológico,correct,3,"CDCODE,PhaSepDB",2.0,Huntingtin polyQ inclusions are the paradigm pathological inclusion body.
TDP-25 inclusions,inclusion_body,Patológico,correct,1,CDCODE,1.0,C-terminal TDP-43 fragment aggregates; pathological inclusion.
Inflammasome,inflammasome,Citoplasmático,correct,2,CDCODE,1.0,Direct match.
Insulator body,insulator_body,Nuclear,correct,8,"CDCODE,DrLLPS",1.0,Case variant.
focal adhesion (FA) condensate,integrin_adhesion_complex,Membrana,correct,3,CDCODE,1.0,Focal adhesions are the canonical integrin adhesion complexes.
Integrin adhesion complex,integrin_adhesion_complex,Membrana,correct,3,PhaSepDB,1.0,Direct match.
L-bodies,l_body,Germinal,correct,10,CDCODE,1.0,Plural variant.
liquid-like DYRK3 speckles,liquid_dyrk3_speckle,Nuclear/Mitótico,correct,1,PhasePro,1.0,Direct match.
DYRK3 speckle,liquid_dyrk3_speckle,Nuclear/Mitótico,correct,1,CDCODE,1.0,Direct match.
Rbm14-maternal mRNA condensate,maternal_mrna_condensate,Nuclear,correct,1,PhaSepDB,1.0,Direct match.
Mediator condensate,mediator_condensate,Nuclear,correct,6,PhaSepDB,2.0,Direct match.
micro-ribonucleoprotein complex,mirisc,Citoplasmático,correct,2,PhasePro,1.0,miRISC is the micro-RNP complex.
miRISC condensate,mirisc,Citoplasmático,correct,2,CDCODE,1.0,Direct match.
mtRNA granule,mitochondrial_rna_granule,Mitocondrial,correct,42,CDCODE,1.0,Standard abbreviation.
MORC3-NBs,morc3_nuclear_body,Nuclear,correct,1,PhasePro,1.0,Abbreviation of MORC3 nuclear bodies.
small RNA amplification complex,mutator_foci,Germinal,correct,1,PhasePro,1.0,Mutator foci are the small-RNA amplification compartment; the functional description names the same structure.
mutator focus,mutator_foci,Germinal,correct,1,PhasePro,1.0,Singular variant.
MUTator foci,mutator_foci,Germinal,correct,1,CDCODE,1.0,Case variant.
Arsenite-induced Necrosome,necrosome,Citoplasmático,correct,7,CDCODE,2.0,Necrosome formed under arsenite stress; same assembly.
Necrosome,necrosome,Citoplasmático,correct,2,PhaSepDB,1.0,Direct match.
IMP1 ribonucleoprotein granule,neuronal_granule,Neuronal,correct,0,,,IMP1/IGF2BP1 transport granules in neurons.
IMP1 RNP granule,neuronal_granule,Neuronal,correct,39,CDCODE,1.0,Same structure.
RNP transport granule,neuronal_granule,Neuronal,correct,2,PhaSepDB,1.0,Neuronal transport granules.
RBFOX1 RNP granule,neuronal_granule,Neuronal,correct,2,CDCODE,1.0,RBFOX1 neuronal granules.
Neuronal RNP granule,neuronal_granule,Neuronal,correct,66,CDCODE,4.0,Direct match.
neuronal ribonucleoprotein granule,neuronal_granule,Neuronal,correct,5,PhasePro,2.0,Direct match.
NP bodies,norad_pum_body,Nuclear,correct,2,CDCODE,1.0,NORAD-PUMILIO bodies; abbreviation of the same structure.
IMC (intermitochondrial cement),nuage,Germinal,correct,1,CDCODE,1.0,Intermitochondrial cement is a recognised nuage compartment in mammalian germ cells.
Nuage,nuage,Germinal,correct,10,"CDCODE,DrLLPS,PhaSepDB",5.0,Case variant.
NAB3 nuclear body,nuclear_body,Nuclear,correct,1,CDCODE,1.0,Nab3/Nrd1 nuclear foci in yeast.
nuclear pore central transport channel,nuclear_pore_complex,Nuclear,correct,3,PhasePro,2.0,The FG-nucleoporin permeability barrier is the condensate phase of the NPC; correctly unified.
selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,nuclear_pore_complex,Nuclear,correct,3,PhasePro,2.0,"Verbose description of the same FG-nucleoporin phase; correct target, label needs normalisation."
ALYREF condensates,nuclear_speckle,Nuclear,correct,1,CDCODE,1.0,ALYREF is an export adaptor enriched in speckles.
METTL14 condensate,nuclear_speckle,Nuclear,correct,1,CDCODE,1.0,m6A writer complex localises to nuclear speckles.
dense fibrillar component,nucleolus,Nuclear,correct,2,PhasePro,2.0,Nucleolar sub-compartment; the merge is a deliberate granularity decision consistent with the project's coverage rule.
granular component,nucleolus,Nuclear,correct,1,PhasePro,1.0,Nucleolar sub-compartment; same granularity decision.
ORF8/p62 condensate,p62_body,Citoplasmático,correct,4,CDCODE,2.0,SARS-CoV-2 ORF8 condensates with p62; p62 body by composition.
p62-dependent P-bodies (pd-PBs),p_body,Citoplasmático,correct,11,CDCODE,2.0,p62-dependent P-bodies are P-bodies distinguished by a nucleating factor.
GW-body,p_body,Citoplasmático,correct,3,"CDCODE,PhasePro",1.0,GW bodies and P bodies are the same structure named by GW182 content; long-established synonymy.
PB-like Assembly,p_body,Citoplasmático,correct,3,CDCODE,1.0,Explicitly described as P-body-like.
PGL granules,p_granule,Germinal,correct,5,CDCODE,1.0,PGL-1/PGL-3 are core P-granule scaffolds in C. elegans.
ParABS DNA,parabs_condensate,Procariota,correct,1,CDCODE,1.0,ParABS partition complex; direct match.
ParABS,parabs_condensate,Procariota,correct,0,,,Direct match.
Perinucleolar compartment,perinucleolar_compartment,Nuclear,correct,1,DrLLPS,1.0,Direct match.
CRY2/SPA1/FIO1 condensate,plant_photobody,Plastídico,correct,3,CDCODE,1.0,Cryptochrome photobody components in Arabidopsis.
Photobody,plant_photobody,Plastídico,correct,7,PhaSepDB,1.0,Photobodies are the plant light-signalling nuclear bodies.
OsJAZ2 condensate,plant_signaling_condensate,Citoplasmático,correct,1,CDCODE,1.0,Rice jasmonate signalling repressor condensate.
OsSRO1c-OsDREB2B condensate,plant_signaling_condensate,Citoplasmático,correct,2,CDCODE,1.0,Rice drought-response transcription factor condensate.
PARCL condensate,plant_signaling_condensate,Citoplasmático,correct,1,CDCODE,1.0,Plant condensate.
PodJ condensates,polarity_condensate,Neuronal,correct,3,CDCODE,1.0,PodJ is a Caulobacter polarity hub.
PopZ condensate,polarity_condensate,Neuronal,correct,6,CDCODE,3.0,PopZ is the paradigm bacterial polar microdomain.
Par complex,polarity_condensate,Neuronal,correct,5,"CDCODE,PhaSepDB",3.0,PAR polarity complex condensates.
Numb/Pon condensate,polarity_condensate,Neuronal,correct,2,CDCODE,1.0,Numb-Pon crescent is a polarity condensate in dividing neuroblasts.
basal Numb-Pon crescent in dividing neuroblasts,polarity_condensate,Neuronal,correct,2,PhasePro,1.0,"Same structure, verbose label."
PcG chromatin condensates,polycomb_body,Nuclear,correct,1,PhasePro,1.0,Polycomb chromatin condensates are Polycomb bodies.
PcG body,polycomb_body,Nuclear,correct,35,"CDCODE,DrLLPS",3.0,Standard abbreviation.
ArgBP2 dendritic spine condensate,postsynaptic_density,Neuronal,correct,1,CDCODE,1.0,Dendritic spine condensates are PSD assemblies.
ATG condensate,pre_autophagosomal_structure,Citoplasmático,correct,5,CDCODE,1.0,ATG protein condensates nucleate the PAS.
Presynaptic clusters,presynaptic_active_zone,Neuronal,correct,15,CDCODE,4.0,Presynaptic protein clusters at the active zone.
senescence-associated nuclear proteasome foci,proteasome_foci,Nuclear,correct,5,CDCODE,1.0,Nuclear proteasome foci; within scope.
Proteasome condensate,proteasome_foci,Nuclear,correct,8,CDCODE,2.0,Direct match.
Proteasome containing foci,proteasome_foci,Nuclear,correct,7,PhaSepDB,1.0,Direct match.
Pyrenoid matrix,pyrenoid,Plastídico,correct,181,DrLLPS,1.0,The pyrenoid matrix is the Rubisco condensate phase of the pyrenoid.
Pre-replication compartment (PRC),replication_compartment,Viral/Nuclear,correct,3,CDCODE,2.0,Herpesvirus pre-replication compartments mature into replication compartments.
viral replication compartment (VRC),replication_compartment,Viral/Nuclear,correct,8,CDCODE,3.0,Direct match.
Virus-induced replication (VIR) condensate,replication_compartment,Viral/Nuclear,correct,1,CDCODE,1.0,Direct match.
VRO-associated condensate,replication_compartment,Viral/Nuclear,correct,1,PhaSepDB,1.0,Viral replication organelle-associated condensate.
Sam68 nuclear bodies (SNBs),sam68_nuclear_body,Nuclear,correct,2,PhasePro,1.0,Direct match.
FXR-driven SARS-CoV-2 condensate,sars_cov2_n_condensate,Viral,correct,5,CDCODE,2.0,FXR1-driven N-protein condensates; same assembly.
Sec-body,sec_body,Citoplasmático,correct,8,CDCODE,2.0,Spelling variant.
EML4-ALK condensates,signaling_condensate,Citoplasmático,correct,1,CDCODE,1.0,Oncogenic fusion-kinase condensates that nucleate RAS-MAPK signalling.
Insulin/IGF-1 signalosomes,signaling_condensate,Citoplasmático,correct,1,CDCODE,1.0,Pathway signalosome within the generic class.
PGAM5-MAVS Condensate,signaling_condensate,Citoplasmático,correct,2,CDCODE,1.0,MAVS signalosome regulation; innate-immune signalling condensate.
BMP2K condensate,signaling_condensate,Citoplasmático,correct,1,CDCODE,1.0,BMP2K kinase condensate; signalling assembly.
Sint speckle,sint_speckle,Citoplasmático,correct,4,CDCODE,1.0,Case variant.
Sirna body,sirna_body,Citoplasmático,correct,5,CDCODE,1.0,Case variant.
SMN-Rpp20 complex,smn_complex,Nuclear/Citoplasmático,correct,1,CDCODE,1.0,SMN complex variant.
spindle matrix,spindle_apparatus,Citoesqueleto,correct,1,PhasePro,1.0,The spindle matrix is the non-microtubule spindle-associated phase.
condensed compartments of microtubule bundling,spindle_apparatus,Citoesqueleto,correct,1,PhasePro,1.0,Descriptive label for spindle microtubule-bundling condensates.
Birc5b assembly,spindle_apparatus,Citoesqueleto,correct,1,CDCODE,0.0,Survivin/BIRC5 is a chromosomal passenger complex component at the spindle midzone.
Std1 bodies,std1_body,Citoplasmático,correct,1,PhasePro,1.0,Plural variant.
DHX9 Stress Granules,stress_granule,Citoplasmático,correct,12,CDCODE,1.0,DHX9-containing stress granules are canonical stress granules described through one component; merge is correct.
a matrix holding together clusters of synaptic vesicles (SVs),synapsin_condensate,Neuronal,correct,2,PhasePro,1.0,Descriptive label for the synapsin-vesicle condensate.
LAT signalosome,t_cell_signalosome,Membrana,correct,3,PhasePro,1.0,LAT is the scaffold of the TCR-proximal signalosome; the same assembly.
TCR signalosome,t_cell_signalosome,Membrana,correct,3,PhasePro,1.0,Direct match.
Tam body,tam_body,Nuclear,correct,11,CDCODE,1.0,Case variant.
Transcription Elongation Condensate,transcriptional_condensate,Nuclear,correct,8,CDCODE,1.0,Elongation condensates are transcriptional condensates at a defined cycle stage; class aggregation is deliberate.
Elongation complex,transcriptional_condensate,Nuclear,correct,5,PhaSepDB,1.0,"Same, named as a complex."
BRD4 condensate,transcriptional_condensate,Nuclear,correct,3,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
cBAF condensate,transcriptional_condensate,Nuclear,correct,4,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
CEBPZ condensates,transcriptional_condensate,Nuclear,correct,3,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
c‐Maf condensates,transcriptional_condensate,Nuclear,correct,6,CDCODE,2.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
EWSR1 condensates,transcriptional_condensate,Nuclear,correct,1,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
IFN-I transcriptional condensate,transcriptional_condensate,Nuclear,correct,2,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
KAT8-IRF1 condensate,transcriptional_condensate,Nuclear,correct,2,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
MEF2D Condensate,transcriptional_condensate,Nuclear,correct,1,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
nYAC,transcriptional_condensate,Nuclear,correct,1,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
RNA polymerase clusters,transcriptional_condensate,Nuclear,correct,1,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
SGF29 condensate,transcriptional_condensate,Nuclear,correct,4,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
TFAP2β condensates,transcriptional_condensate,Nuclear,correct,3,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
POLII clusters,transcriptional_condensate,Nuclear,correct,2,PhasePro,2.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
Transcription condensate,transcriptional_condensate,Nuclear,correct,4,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
Transcriptional condensates,transcriptional_condensate,Nuclear,correct,3,CDCODE,1.0,"Factor-specific transcriptional condensate absorbed into the functional class. Defensible under the project's granularity rule since no source annotates the generic term at factor resolution, but the class should be declared as an aggregation rather than presented as an equivalence."
U-body,u_body,Citoplasmático,correct,5,CDCODE,2.0,Hyphen variant.
Ubqln puncta,ubqln_puncta,Citoplasmático,correct,3,CDCODE,1.0,Case variant.
cytoplasmic Virion Assembly Compartments (cVACs),viral_factory,Viral,correct,4,CDCODE,1.0,cVACs are the cytoplasmic assembly compartments of herpesviruses; within the viral factory class.
RdRp condensates,viral_factory,Viral,correct,3,CDCODE,3.0,Viral RNA-dependent RNA polymerase condensates are the replication compartment.
GCRV viroplasm,viroplasm,Viral,correct,13,CDCODE,2.0,Grass carp reovirus viroplasm; direct match.
viroplasm viral factory,viroplasm,Viral,correct,0,,,Compound label naming the same reoviral structure.
Beta-Catenin Destruction Complex,wnt_destruction_complex,Citoplasmático,correct,6,CDCODE,1.0,Direct match.
Destruction complex condensate,wnt_destruction_complex,Citoplasmático,correct,6,PhaSepDB,1.0,Direct match.
Dishevelled condensate,wnt_signaling_condensate,Citoplasmático,correct,1,CDCODE,1.0,DVL polymerisation forms the Wnt signalosome.
Wnt signalodroplet,wnt_signaling_condensate,Citoplasmático,correct,4,PhaSepDB,1.0,Descriptive variant of the Wnt signalosome.
Yb-body,yb_body,Germinal,correct,4,CDCODE,1.0,Hyphen variant.
Z-granule,z_granule,Germinal,correct,3,CDCODE,1.0,Hyphen variant.
Junctional condensate,zo_protein_compartment,Membrana,correct,5,CDCODE,1.0,ZO-1/ZO-2 tight-junction condensates are the compartment this canonical names; 'junctional condensate' is the generic description of the same assembly.
ABC transporter condensate,bacterial_rnp_body,Procariota,error,2,CDCODE,2.0,An ABC transporter condensate is a membrane-transport assembly; BR-bodies are RNase E-nucleated bacterial RNP granules. No compositional or functional relation beyond both being bacterial.
Large dense-core vesicles,chromogranin_condensate,Citoplasmático,error,1,CDCODE,1.0,Dense-core vesicles are membrane-bounded secretory vesicles. The chromogranin condensate is the intravesicular dense core; equating the vesicle with the condensate imports a membrane-bound organelle into an MLO vocabulary.
Cytoplasmic protein granule,cytoplasmic_rnp_granule,Citoplasmático,error,5,CDCODE,2.0,"Case-only variant of 'cytoplasmic protein granule', which maps to cytoplasmic_protein_granule. The same source label is split across two canonicals by capitalisation alone — a normalisation failure, not a curation judgement. Also asserts RNA content the label does not state."
Golgi ribbon,golgin_condensate,Citoplasmático,error,1,CDCODE,1.0,"The Golgi ribbon is a membrane-bound organelle arrangement, not a biomolecular condensate; GOLGA2/GM130 tethering is a golgin function but the ribbon itself is outside the MLO definition. Discard or reassign the protein to golgin_condensate without importing the ribbon as a compartment name."
XY body,heterochromatin,Nuclear,error,10,PhaSepDB,1.0,"XY (sex) body is the meiotic sex-chromosome domain silenced by MSCI; its 10 proteins (Topbp1, Mdc1, Brca1) are the ATR-MDC1 damage-response machinery, sharing zero proteins with the 42 heterochromatin proteins in the same resource and organism. Also collides with the existing sex_body canonical, whose justification describes a third structure (Barr body). Split into a dedicated xy_body term and correct sex_body."
DDR1 condensate,hippo_condensate,Membrana,error,2,CDCODE,1.0,"DDR1 is a collagen receptor tyrosine kinase; its condensates are not Hippo-pathway assemblies. The canonical groups by pathway, so this is a category error within a pathway-defined term."
inclusion body-associated granule (IBAG),inclusion_body,Patológico,error,9,CDCODE,4.0,"IBAGs are sub-compartments of respiratory syncytial virus replication inclusions (M2-1 plus host eIF4F); they are viral factories, not the pathological protein-aggregate inclusion bodies that define this canonical. Move to viral_factory."
P6 inclusion body,inclusion_body,Patológico,error,6,CDCODE,2.0,"Cauliflower mosaic virus P6 inclusion bodies are viral replication/assembly factories in plant cells (P6 with host DCP5/LSM1B/VCS), not pathological aggregates. Move to viral_factory."
TIFA-TRAF6 Condensate,inflammasome,Citoplasmático,error,7,CDCODE,1.0,"TIFAsomes are ALPK1-TIFA-TRAF6 innate-immune assemblies that activate NF-κB; they are not inflammasomes (no NLR sensor, no ASC speck, no caspase-1). Distinct innate-immune condensate class."
FATZ-1 condensate,postsynaptic_density,Neuronal,error,1,CDCODE,1.0,FATZ-1/MYOZ1 is a sarcomeric Z-disc protein of skeletal muscle; the Z-disc is not the postsynaptic density. Likely a name-similarity match ('Z-disc'/'density'). Reassign to a sarcomeric/Z-disc term or discard.
Presynaptic clusters and postsynaptic densities,presynaptic_active_zone,Neuronal,error,1366,CDCODE,1.0,"Compound CDCODE label naming two distinct compartments on opposite sides of the synapse; 1,366 proteins (99% of presynaptic_active_zone) are assigned to the presynaptic term alone, silently discarding the postsynaptic half. This is the unexploded-compound case the normalisation rule was written for."
Proteasome Storage Granule,proteasome_foci,Nuclear,error,5,PhaSepDB,1.0,Yeast proteasome storage granules are cytoplasmic quiescence structures that sequester proteasomes during carbon starvation; proteasome_foci is categorised Nuclear and groups nuclear/senescence-associated proteasome bodies. Distinct compartment and wrong category.
HSP condensate,signaling_condensate,Citoplasmático,error,1,CDCODE,1.0,"Heat-shock protein condensates are chaperone/stress assemblies, not signalling condensates; the generic Signalosome class is the wrong parent."
Plectin condensates,signaling_condensate,Citoplasmático,error,2,CDCODE,1.0,"Plectin is a cytoskeletal linker crosslinking intermediate filaments; its condensates belong under a cytoskeletal term, not signalling."
SSB condensate,signaling_condensate,Citoplasmático,error,3,CDCODE,2.0,"Single-stranded DNA-binding protein condensates function in DNA replication/repair, not signalling."
Centrosome/Spindle pole body,spindle_pole_body,Citoesqueleto,error,872,DrLLPS,8.0,"DrLLPS uses this compound label for BOTH structures; the 872 proteins are 58% human/mouse, where no spindle pole body exists (it is the yeast/fungal MTOC equivalent). Assigning the whole set to spindle_pole_body makes the metazoan centrosome proteome disappear into a fungal term and inflates spindle_pole_body to rank 11. Split by organism: fungal taxa to spindle_pole_body, metazoan to centrosome."
α-synuclein condensates,synapsin_condensate,Neuronal,error,6,"CDCODE,PhaSepDB",2.0,"α-synuclein condensates are assigned to synapsin_condensate, but α-syn condensation is studied both as a synaptic-vesicle clustering factor and as the pathological aggregation route to Lewy bodies; the merged proteins include TH and DLG4 (postsynaptic). Synapsin and α-synuclein condensates are distinct assemblies that co-occur at the presynapse. Separate, or move α-syn to a pathological term."
α-synnuclein condensates,synapsin_condensate,Neuronal,error,1,CDCODE,1.0,"Same as the correctly spelled variant, plus a misspelling that should be normalised at ingestion."
Actin nucleator,actin_cortical_patch,Citoesqueleto,review,1,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Cobl condensate,actin_cortical_patch,Citoesqueleto,review,1,CDCODE,1.0,"Source label names a protein or complex, not a compartment. Mapping it to actin_cortical_patch asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
Row 1-specific tip complex condensates,ankle_link_condensate,Membrana,review,4,CDCODE,1.0,Hair-cell tip-link and ankle-link complexes are distinct stereociliary adhesion structures at different positions along the bundle.
Mitochondrial cloud,balbiani_body,Germinal,review,598,CDCODE,1.0,"Defensible as a synonym in Xenopus (the mitochondrial cloud is the nascent Balbiani body), but the 598 Xenopus proteins now dominate balbiani_body and are a bulk proteomic dataset rather than curated residents. Keep the merge, flag the evidence tier."
mitochondrial cloud,balbiani_body,Germinal,review,2,PhasePro,1.0,"Defensible as a synonym in Xenopus (the mitochondrial cloud is the nascent Balbiani body), but the 598 Xenopus proteins now dominate balbiani_body and are a bulk proteomic dataset rather than curated residents. Keep the merge, flag the evidence tier."
Enzyme_shell proteins condensates,carboxysome,Procariota,review,2,CDCODE,1.0,"Generic description of shell-plus-cargo architecture that also fits other bacterial microcompartments (metabolosomes, encapsulin); assigning it to carboxysome specifically is an over-commitment on 2 proteins."
eukaryotic topoisomerase ii,chromatin_compartment,Nuclear,review,2,CDCODE,2.0,"Source label names a protein or complex, not a compartment. Mapping it to chromatin_compartment asserts that the protein's condensate is that compartment, which the source does not state. Route these through the discard rule for non-compartment labels or record them as protein-level condensates in a separate field."
euchromatin,chromatin_compartment,Nuclear,review,2,PhasePro,2.0,Euchromatin and heterochromatin are opposite chromatin states; a single chromatin_compartment canonical that absorbs euchromatin while heterochromatin is separate is internally inconsistent.
Euchromatin,chromatin_compartment,Nuclear,review,2,CDCODE,2.0,Same as the lowercase variant.
