acc	organism	database_source	llps_roles	mlos	idrs	lcrs	llps_regions	pfam_domains
A0A0B4J1P0	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0B4J269	Homo sapiens	cdcode,drllps	client	postsynaptic_density,presynaptic_clusters_and_postsynaptic_densities	772-797	43-54,99-116,160-183,185-212,240-259,482-500,774-793		Tubulin (x1),7tm_1 (x1),Tubulin_C (x1)
A0A0B4JD97	Drosophila melanogaster	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	327-360,388-429,634-663,716-748,837-859	52-70,337-350,546-559,580-594,1108-1139,1168-1188,1275-1283		TACC_C (x1)
A0A0B4K630	Drosophila melanogaster	phasepdb	driver	heterochromatin				
A0A0B4K7A6	Drosophila melanogaster	cdcode,phasepdb	driver,client	nucleolus	115-156,219-259,310-340,385-405	121-158,173-221,258-267		BTB (x1),FLYWCH (x1)
A0A0B4KFL3	Drosophila melanogaster	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	148-302	173-188,227-240,243-255,267-287		AAA (x1),AAA_lid_3 (x1),Vps4_C (x1)
A0A0B4KG66	Drosophila melanogaster	cdcode,drllps	client	centrosome,centrosome/spindle_pole_body	1-64,147-201,258-301	109-120,266-276,293-304,572-583		Pkinase (x1)
A0A0B4KH25	Drosophila melanogaster	cdcode	client	insulator_body				
A0A0B4LEZ3	Drosophila melanogaster	cdcode,drllps	client	p_body	361-414,879-902,1396-1432,1444-1465	232-257,363-377,388-408,452-467,769-782,799-805,885-905,1276-1286,1402-1434,1436-1446		CNOT1_CAF1_bind (x1),DUF3819 (x1),Not1 (x1),CNOT1_HEAT (x1),CNOT1_TTP_bind (x1)
A0A0B4LH59	Drosophila melanogaster	phasepdb	driver	na				
A0A0B4Q642	Simian-Human immunodeficiency virus 1	phasepdb	driver	na				
A0A0B5KTL4	Chlamydomonas reinhardtii	cdcode,drllps	client	pyrenoid,pyrenoid_matrix		282-294,335-344,384-395,514-525,587-598,603-616,700-720		NAD_Gly3P_dh_N (x1),NAD_Gly3P_dh_C (x1)
A0A0C4DFX9	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0C4DG89	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0C4DGZ1	Homo sapiens	phasepdb	client	nucleolus;_stress_granule				
A0A0D2X5H4	Capsaspora owczarzaki (strain ATCC 30864)	phasepdb	driver	na				
A0A0D9QXH3	Chlorocebus sabaeus	drllps	regulator	stress_granule	345-375	343-366		RRM_1 (x3)
A0A0D9R6K4	Chlorocebus sabaeus	phasepdb	driver	inclusion_body				
A0A0D9RB41	Chlorocebus sabaeus	cdcode	client	inclusion_body				
A0A0D9REQ6	Chlorocebus sabaeus	cdcode,drllps	client,regulator	stress_granule	144-172,184-325,413-466	142-167,184-213,291-307,421-450		NTF2 (x1),RRM_1 (x1)
A0A0D9RHW7	Chlorocebus sabaeus	cdcode	client	inclusion_body				
A0A0D9RMM1	Chlorocebus sabaeus	cdcode	client	inclusion_body_associated_granule_(ibag)				
A0A0D9RRJ6	Chlorocebus sabaeus	cdcode,drllps	client,regulator	inclusion_body,stress_granule	350-386	59-65,82-104		RRM_1 (x3)
A0A0D9RS87	Chlorocebus sabaeus	cdcode,drllps	client	nuclear_speckle	46-139,279-388,400-721	5-32,43-71,84-100,174-221,298-318,330-344,350-379,424-438,455-506,556-642,646-660,666-677,687-721		Pinin_SDK_N (x1),Pinin_SDK_memA (x1)
A0A0D9RYD0	Chlorocebus sabaeus	drllps	regulator	stress_granule	1-160	8-65,69-93,123-139,792-805		eIF2A (x1)
A0A0D9S7U2	Chlorocebus sabaeus	cdcode,drllps	client	nuclear_speckle	1-274,580-708	2-33,46-105,115-267,506-526,535-553,563-596,604-623,626-648,669-689,691-701		RRM_1 (x2),NOPS (x1)
A0A0D9SFI6	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0G2JDK2	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0G2JE99	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0G2JIW1	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0G2JKZ1	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0G2JMS6	Homo sapiens	cdcode,drllps	client	pml_nuclear_body		1233-1245		A2M_recep (x1),MG3 (x1),MG4 (x1),A2M_BRD (x1),A2M (x1),TED_complement (x1)
A0A0G2JNN3	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0G2K8K0	Rattus norvegicus	drllps	regulator	others	1-262,543-562,568-696	5-27,51-106,117-233,235-255,494-514,523-541,551-584,592-611,614-636,657-677,679-689		RRM_1 (x2),NOPS (x1)
A0A0G2QC63	Rattus norvegicus	cdcode	client	sec_body				
A0A0G2UHG9	Dosidicus gigas	cdcode,llpsdb	driver,client	synthetic_condensate_000239		7-17,30-46,111-121,125-173		
A0A0G2UMW8	Dosidicus gigas	cdcode,llpsdb	driver,client	synthetic_condensate_000139		23-44,77-96,98-178		
A0A0H3C5U2	Caulobacter vibrioides (strain NA1000 / CB15N)	phasepdb	driver	na				
A0A0H3C9Y4	Caulobacter vibrioides (strain NA1000 / CB15N)	cdcode	client	popz_condensate				
A0A0J9YTU3	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0J9YW13	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0J9YYL3		cdcode	client	pml_nuclear_body				
A0A0K3AS36	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A0K3ASM8	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A0K3ATU3	Caenorhabditis elegans	drllps	regulator	p_granule	1-65	30-46		
A0A0K3AUJ9	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A0K3AXA5	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A0M5MUP5	Chlamydomonas reinhardtii	cdcode,drllps	client	pyrenoid,pyrenoid_matrix	1-62,104-129,275-294,485-511,553-575,915-940,1038-1062,1576-1596,1670-1720,1778-1834,1909-1948,1962-1984,2400-2443,2648-2794	98-132,196-237,244-253,257-304,315-328,355-414,473-510,547-577,583-615,635-653,671-705,711-734,774-808,814-834,849-863,889-961,983-1023,1031-1052,1109-1133,1310-1333,1340-1350,1358-1402,1503-1515,1518-1531,1573-1606,1665-1686,1760-1772,1784-1795,1800-1829,1909-1926,1935-1992,2003-2013,2065-2076,2208-2221,2280-2295,2309-2313,2337-2357,2362-2380,2392-2447,2474-2485,2490-2511,2514-2528,2530-2551,2585-2615,2622-2631,2643-2700,2709-2744,2751-2763,2770-2786		SAP (x1)
A0A0M7REQ4	Caenorhabditis elegans	drllps	regulator	p_body	276-316	92-110,278-297		bZIP_Maf (x1)
A0A0N4SUM3	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0R4IAW9	Danio rerio	cdcode,drllps	client	balbiani_body	87-121,290-381,401-449	111-126,252-275,324-343,408-432		RRM_1 (x2)
A0A0R4IBJ2	Danio rerio	phasepdb	client	balbiani_body				
A0A0R4IGK8	Danio rerio	phasepdb	client	balbiani_body				
A0A0R4IJ04	Danio rerio	phasepdb	driver	stress_granule				
A0A0R4ILM9	Danio rerio	phasepdb	client	balbiani_body				
A0A0R4IMS9	Danio rerio	cdcode	client	transcription_condensate				
A0A0R4IWW7	Danio rerio	phasepdb	client	balbiani_body				
A0A0R4J083	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0R4J0Z1	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0R4J119	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0R4J1S4	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0R4J2B7	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0U1RML5	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A0U1RNT6	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A0U1RQC9	Homo sapiens	phasepdb	client	nucleolus;_stress_granule				
A0A0U1RRE5	Homo sapiens	cdcode,drllps,phasepdb	client	p_body	1-68	43-59		
A0A0U1RRM1	Homo sapiens	cdcode	client	pml_nuclear_body				
A0A0X9SCL6	Nicotiana benthamiana	phasepdb	driver	na				
A0A131MB92	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A131MBF9	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A140H547	Toxoplasma gondii	cdcode	client	stress_granule				
A0A140LIW3	Mus musculus	cdcode,drllps	client	postsynaptic_density	490-519,621-697,832-870,882-909,971-1244,1315-1350,1718-1762	37-53,100-113,624-635,650-658,1086-1101,1116-1130,1151-1179,1253-1261,1718-1746		FERM_M (x1),PDZ (x1)
A0A140LJG6	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A140T832	Bos taurus	cdcode,drllps	client	nucleolus				Ribosomal_S17e (x1)
A0A140T846	Bos taurus	cdcode,drllps	client	nucleolus	1-59	14-42		Exo_endo_phos (x1)
A0A140T862	Bos taurus	cdcode,drllps	client	nucleolus	1-120,141-165,251-295	14-21,79-87,124-132		eIF-5_eIF-2B (x1)
A0A142C344	Xanthomonas campestris pv. juglandis	phasepdb	driver	na				
A0A142DXV5	Bluetongue virus	phasepdb	driver	inclusion_body				
A0A151NUX6	Alligator mississippiensis	phasepdb	driver	na				
A0A178UAJ2	Arabidopsis thaliana	cdcode	client	sirna_body				
A0A178V3U6	Arabidopsis thaliana	cdcode	client	p_body				
A0A178VCT0	Arabidopsis thaliana	cdcode	client	sirna_body				
A0A178VP50	Arabidopsis thaliana	phasepdb	driver	stress_granule				
A0A178VY62	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	1-58,849-906,925-945	5-42,384-397,707-738,833-840,1316-1328,1364-1378,1403-1423,1442-1462,1481-1508,1516-1543,1629-1640		MATH (x3)
A0A178W3G2	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	1-37,135-201,265-428,882-904	1-15,149-168,185-198,280-300,302-316,357-382,397-423,831-840,895-904		Nop14 (x1)
A0A193AUW9	Bovine orthopneumovirus	phasepdb	driver	inclusion_body				
A0A1A7ZGA7	Nothobranchius furzeri	phasepdb	driver	nuclear_speckle				
A0A1B0GR78	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A1D1UQN2	Ramazzottius varieornatus	phasepdb	driver	na				
A0A1D1VNN8	Ramazzottius varieornatus	phasepdb	driver	na				
A0A1D5PQ11	Gallus gallus	cdcode,drllps	client,regulator	stress_granule				RRM_1 (x2)
A0A1D5RLP1	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A1D8PRZ8	Candida albicans (strain SC5314 / ATCC MYA-2876)	phasepdb	driver	na				
A0A1I9LN21	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		23-30		His_Phos_1 (x2)
A0A1I9LRM4	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	54-77,263-284,395-480	54-78,204-218,267-282,309-320,394-417,419-480		LUC7 (x2)
A0A1I9LS87	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				UCR_UQCRX_QCR9 (x1)
A0A1I9LSB9	Arabidopsis thaliana	cdcode	client	p_body,stress_granule				
A0A1I9LSC0	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	121-143	153-168,176-196,200-214,223-270,282-295,300-312,325-345,349-405		Alba (x1)
A0A1I9LT02	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		73-92		UDPGP (x1)
A0A1L1QZG2	Danio rerio	phasepdb	client	balbiani_body				
A0A1L1SSF8	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A1L1SV25	Mus musculus	cdcode	client	mast_cell_extracellular_granules_(mcegs)				
A0A1L2D6E4	Grass carp reovirus	cdcode	client	gcrv_viroplasm				
A0A1L8EKI7	Xenopus laevis	phasepdb	client	l_body				
A0A1L8EKL0	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8EKL2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8ELE8	Xenopus laevis	phasepdb	client	l_body				
A0A1L8ELU2	Xenopus laevis	phasepdb	client	l_body				
A0A1L8EMY5	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8ENM5	Xenopus laevis	phasepdb	client	balbiani_body				Ribosomal_L13 (x1)
A0A1L8ENQ8	Xenopus laevis	phasepdb	client	balbiani_body	1-24	9-33,66-107,177-198,224-244,271-312,338-358		Filament (x1)
A0A1L8EP22	Xenopus laevis	phasepdb	client	balbiani_body	1-53			DAP (x1)
A0A1L8EPB9	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8EQ20	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8EQD3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8ERR7	Xenopus laevis	phasepdb	client	l_body				
A0A1L8ETY8	Xenopus laevis	phasepdb	client	balbiani_body		59-70		Ribosomal_L27e (x1),KOW (x1)
A0A1L8EV00	Xenopus laevis	phasepdb	client	balbiani_body	49-70	49-69,92-106		SCO1-SenC (x1)
A0A1L8EW14	Xenopus laevis	phasepdb	client	balbiani_body	1-57			DAP (x1)
A0A1L8EXC4	Xenopus laevis	phasepdb	client	balbiani_body				Globin (x1)
A0A1L8F2P2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8F2W4	Xenopus laevis	phasepdb	client	l_body				
A0A1L8F4N1	Xenopus laevis	phasepdb	client	l_body				
A0A1L8F5F1	Xenopus laevis	phasepdb	client	balbiani_body				Ribosomal_L16 (x1)
A0A1L8F6D8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8F918	Xenopus laevis	phasepdb	client	balbiani_body		231-246		ECH_1 (x1)
A0A1L8FCQ5	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FGS2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FIX2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FJ61	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FK58	Xenopus laevis	cdcode,phasepdb	client	balbiani_body,mitochondrial_cloud				ELFV_dehydrog (x1),ELFV_dehydrog_N (x1)
A0A1L8FKI1	Xenopus laevis	phasepdb	client	balbiani_body				ECH_1 (x1)
A0A1L8FMC3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FP75	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FPF9	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FQC1	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FRG2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FSY2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8FT79	Xenopus laevis	phasepdb	client	l_body				
A0A1L8FTL8	Xenopus laevis	phasepdb	client	l_body				
A0A1L8FZF7	Xenopus laevis	phasepdb	client	balbiani_body		61-79		
A0A1L8FZR3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8G0S8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8G3E8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8G4H4	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8G7J1	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GCT2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GCW7	Xenopus laevis	cdcode,phasepdb	client	balbiani_body,mitochondrial_cloud	84-110	92-109		ubiquitin (x1),Ribosomal_S30 (x1)
A0A1L8GE29	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GEF4	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GET6	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GF86	Xenopus laevis	cdcode,phasepdb	client	l_body,mitochondrial_cloud				
A0A1L8GFC1	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GFD3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GGF6	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GGT8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GIC5	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GJX9	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GL32	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GLL5	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GNT8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GPP7	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GQR4	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GQX2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GT37	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GT79	Xenopus laevis	phasepdb	client	l_body				
A0A1L8GTD6	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GUL6	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GVA6	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GWS9	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GYF2	Xenopus laevis	phasepdb	client	balbiani_body	1-160	41-49,64-74,84-115		Peptidase_M24 (x1)
A0A1L8GZ54	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GZG8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8GZX5	Xenopus laevis	cdcode,phasepdb	client	balbiani_body,mitochondrial_cloud				Iso_dh (x1)
A0A1L8H0R6	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H0U2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H195	Xenopus laevis	phasepdb	client	balbiani_body	352-374	130-140,148-159,166-179,233-244,352-396		Ribosomal_L4 (x1),Ribos_L4_asso_C (x1)
A0A1L8H1F1	Xenopus laevis	phasepdb	client	l_body				
A0A1L8H4N6	Xenopus laevis	phasepdb	client	l_body				
A0A1L8H4S4	Xenopus laevis	phasepdb	client	balbiani_body	1-66	2-29		Ribosomal_L23eN (x1),Ribosomal_L23 (x1)
A0A1L8H563	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H960	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H9I9	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H9J8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H9L7	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8H9S2	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HCS3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HEI6	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HFP4	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HFR9	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HG76	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HGE0	Xenopus laevis	phasepdb	client	balbiani_body	94-155	111-143		Ribosomal_L24e (x1)
A0A1L8HGG4	Xenopus laevis	phasepdb	client	balbiani_body	128-152	23-37,80-93,180-191		MAM33 (x1)
A0A1L8HHL7	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HHY6	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HKM0	Xenopus laevis	cdcode,phasepdb	client	balbiani_body,mitochondrial_cloud		104-116,229-243,277-296		Ligase_CoA (x1),CoA_binding (x1)
A0A1L8HKP3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HLZ2	Xenopus laevis	phasepdb	driver	nucleolus				
A0A1L8HM44	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HMF0	Xenopus laevis	phasepdb	client	balbiani_body,l_body	141-322,410-483	141-169,186-241,286-301,406-461		NTF2 (x1),RRM_1 (x1)
A0A1L8HMI8	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HNA9	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HNY0	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HPN0	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HQ72	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HQ92	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HRP3	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8HSF1	Xenopus laevis	phasepdb	client	balbiani_body		63-72,104-116,211-225,259-278		Ligase_CoA (x1),CoA_binding (x1)
A0A1L8HSG7	Xenopus laevis	phasepdb	client	balbiani_body		63-72,104-116,211-225,259-278		Ligase_CoA (x1),CoA_binding (x1)
A0A1L8HUR4	Xenopus laevis	phasepdb	client	balbiani_body				Ribosomal_L34e (x1)
A0A1L8HVK9	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HW32	Xenopus laevis	phasepdb	client	l_body				
A0A1L8HYH7	Xenopus laevis	phasepdb	client	l_body				
A0A1L8I1Z7	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8I201	Xenopus laevis	cdcode	client	mitochondrial_cloud				
A0A1L8I2F1	Xenopus laevis	cdcode,phasepdb	client	balbiani_body,mitochondrial_cloud	78-97			Ribosomal_L37e (x1)
A0A1L8I3J8	Xenopus laevis	phasepdb	client	balbiani_body	160-184	166-179		Ribosomal_L22 (x1)
A0A1N7SYP6	Caenorhabditis elegans	phasepdb	client	p_granule				
A0A1P8AM23	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	672-738	10-23,55-74,466-482,694-714		DnaJ (x1)
A0A1P8AP82	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	103-129,188-210	34-55,105-128,144-180,183-194		
A0A1P8ATL2	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				Epimerase (x1)
A0A1P8AVE9	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	1-36,363-386,428-462,474-542,576-607,648-699,716-746,1074-1096,1118-1175	53-65,82-95,194-206,433-447,475-490,498-526,579-590,656-675,690-713,726-735,1124-1169		AARP2CN (x1),RIBIOP_C (x1)
A0A1P8AW47	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	373-469	358-374,392-404,408-445,451-465		
A0A1P8AWT7	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				Catalase-rel (x1),Catalase (x1)
A0A1P8AWX3	Arabidopsis thaliana	cdcode,drllps	client	nucleolus		6-19,22-33,40-53,209-226		LRR_8 (x2),LRRNT_2 (x1)
A0A1P8B455	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	1-188,581-702	56-111,129-139,600-606,672-692		Methyltr_RsmF_N (x1),Methyltr_RsmB-F (x1)
A0A1P8B4E4	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	2605-2624	311-322,796-808,1678-1690,1913-1921,2021-2034,2036-2050,2573-2584		DRIM (x1)
A0A1P8B4Y6	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	1-80,109-158,487-558,635-678	27-67,119-158,269-296,500-527,661-678		DUF382 (x2),PSP (x1)
A0A1P8B9R0	Arabidopsis thaliana	cdcode,drllps	client	nucleolus	110-132,303-433,463-515,538-575,636-685,724-750	41-61,139-159,260-267,277-292,350-361,409-423,552-570,628-639,670-685		Not3 (x1),NOT2_3_5 (x1)
A0A1P8BB34	Arabidopsis thaliana	cdcode,drllps	client	nucleolus				W2 (x1)
