unified_mlo,source_db,source_name,definition
carboxysome,phasepdb,Carboxysome,"Carboxysomes in cyanobacteria enclose the enzymes Rubisco and carbonic anhydrase to optimize photosynthetic carbon fixation. Understanding carboxysome assembly has implications in agricultural biotechnology. Here we analyzed the role of the scaffolding protein CcmM of the β-cyanobacterium Synechococcus elongatus PCC 7942 in sequestrating the hexadecameric Rubisco and the tetrameric carbonic anhydrase, CcaA. We find that the trimeric CcmM, consisting of γCAL oligomerization domains and linked small subunit-like (SSUL) modules, plays a central role in mediation of pre-carboxysome condensate formation through multivalent, cooperative interactions."
centrosome,cdcode,Centrosome,"Cetrosomes are the main microtubule organising centers (MTOC) of animal cells and thus are critical in regulating cell-cycle progression. Centrosomes nucleate microtubules during mitosis, allowing for chromosomal segregation. Each centrosome contains 2 centrioles arranged perpendicularly and surrounded by pericentriolar material (PCM)."
centrosome,cdcode,Pericentriolar compartment,"Cetrosomes are the main microtubule organising centers (MTOC) of animal cells and thus are critical in regulating cell-cycle progression. Centrosomes nucleate microtubules during mitosis, allowing for chromosomal segregation. Each centrosome contains 2 centrioles arranged perpendicularly and surrounded by pericentriolar material (PCM)."
centrosome,cdcode,Pericentriolar material,"The Pericentriolar material or cen mRNA granule is a ribonucleoprotein (RNP) condensate that localizes to the Pericentriolar Material (PCM) of the Drosophila centrosome. This condensate acts as a platform for the local translation of Cen,  which is improtant for organizing the mitotic spindle and facilitating mitosis."
centrosome,cdcode,Pericentriolar matrix,"Centrosomes are the main microtubule organising centers (MTOC) of animal cells and thus are critical in regulating cell-cycle progression. Centrosomes nucleate microtubules during mitosis, allowing for chromosomal segregation. Each centrosome contains 2 centrioles arranged perpendicularly and surrounded by pericentriolar material (PCM)."
centrosome,drllps,Centrosome/,"A centrosome is a composite material comprising a pair of 200-nm-long barrel-shaped centrioles surrounded by a dynamic protein mass called the pericentriolar material (PCM), which organizes hundreds to thousands of microtubules that build and position the mitotic spindle in metazoans. The seemingly unstructured mitotic PCM provides most of the mass and microtubule nucleation capacity of the centrosome, Mitotic PCM could also be liquid like, the mitotic PCM first assembles through phase separation of SPD-5 molecules around the centrioles. Liquid–liquid phase separation of the SPD-5 scaffold followed by maturation into a gel could explain why mitotic PCM is both spherical and stable."
centrosome,drllps,Pericentriolar matrix,"Pericentriolar matrix, also known as pericentriolar material. A centrosome consists of two barrel-shaped centrioles embedded in a matrix of proteins known as the pericentriolar material (PCM). The PCM serves as a platform for protein complexes that regulate organelle trafficking, protein degradation and spindle assembly. However, unlike other organelles, the PCM is not membrane bound, but rather a dynamic collection of protein complexes and nucleic acids that constitute the organelle's interior and determine its boundary. DYRK3 acts as a central dissolvase of several types of membraneless organelle during mitosis, through its ability to control the condensation of multiple compartments, DYRK3 may link structural and functional roles for RNA, transcription and splicing to the assembly of the mitotic spindle, and be involved in the maintenance of the pericentriolar matrix."
centrosome,phasepdb,Centrosome,"A centrosome is a composite material comprising a pair of 200-nm-long barrel-shaped centrioles surrounded by a dynamic protein mass called the pericentriolar material (PCM), which organizes hundreds to thousands of microtubules that build and position the mitotic spindle in metazoans (1). The seemingly unstructured mitotic PCM provides most of the mass and microtubule nucleation capacity of the centrosome, Mitotic PCM could also be liquid like, the mitotic PCM first assembles through phase separation of SPD-5 molecules around the centrioles. Liquid–liquid phase separation of the SPD-5 scaffold followed by maturation into a gel could explain why mitotic PCM is both spherical and stable"
centrosome,phasepdb,Pericentriolar matrix,"Pericentriolar matrix, also known as pericentriolar material. A centrosome consists of two barrel-shaped centrioles embedded in a matrix of proteins known as the pericentriolar material (PCM). The PCM serves as a platform for protein complexes that regulate organelle trafficking, protein degradation and spindle assembly. Perhaps most important for cell division, the PCM concentrates tubulin and serves as the primary organizing centre for microtubules in metazoan somatic cells. However, unlike other organelles, the PCM is not membrane bound, but rather a dynamic collection of protein complexes and nucleic acids that constitute the organelle's interior and determine its boundary."
centrosome,phasepro,pericentriolar material,A network of small fibers that surrounds the centrioles in cells; contains the microtubule nucleating activity of the centrosome.
cgas_dna_complex,cdcode,cGAS foci,The cytosolic DNA sensor cGMP-AMP (cGAMP) synthase (cGAS) detects both pathogenic and mislocalized DNA in the cytoplasm and activates innate immunity. The immunological response to cancer and pathogen infection is dependent on cGAS detection of cytosolic DNA. The spatial limitation of the DNA sensor cGAS prevents abnormal intracellular detection of self-DNA. The development of cytoplasmic foci containing cGAS and DNA is triggered by DNA emerging in the cytoplasm. Human cGAS (h-cGAS) constitutes an important therapeutic target for modulation of antiinflammatory responses that can contribute to the emergence of autoimmune disorders.
cgas_dna_complex,phasepdb,cGAS-DNA complex,"DNA binding to cGAS robustly induced the formation of liquid-like droplets in which cGAS was activated. The disordered and positively charged cGAS N terminus enhanced cGAS-DNA phase separation by increasing the valencies of DNA binding. Long DNA was more efficient in promoting cGAS liquid phase separation and cGAS enzyme activity than short DNA. Moreover, free zinc ions enhanced cGAS enzyme activity both in vitro and in cells by promoting cGAS-DNA phase separation. cGAS-DNA phase separation is required to resist negative regulation and allow efficient sensing of immunostimulatory DNA. DNA-induced phase transition of cGAS promotes cGAMP production and innate immune signaling."
cgas_dna_complex,phasepro,cGAS foci,
chloroplast_stress_granule,cdcode,Chloroplast Stress granule,"Chlamydomonas reinhardtii

Chloroplast stress granules in the eukaryotic green alga assemble upon stress-induced disassembly of the Rubisco holoenzyme in the pyrenoid. This activates the RNA-binding activity of LSU (large Rubisco subunit, P00877), followed by its concurrent aggregation and binding to mRNAs that are released from polysomes."
chromatin_compartment,cdcode,Euchromatin,"Chromatin is a complex of DNA and histone proteins that regulates gene expression as well as packaging genetic material to fit inside the cell. The proper functioning of chromatin also necessitates a web of interactions between molecular complexes that alter chromatin shape and organization to change DNA accessibility to transcription factors, resulting in the activation or repression of target DNA locus. Chromatin is divided into three types based on its shape and compaction state: euchromatin, heterochromatin, and centromeric chromatin. Euchromatin is characterized by active genes, broader spacing between nucleosomes, greater accessibility to transcription machinery, and histone modifications and variations that favor active transcription."
chromatin_compartment,drllps,Chromatin,"Chromatin is partitioned on multiple length scales into subcompartments that differ from each other with respect to their molecular composition and biological function. two different mechanisms for the formation of phase-separated chromatin subcompartments have been proposed. One is based on bridging proteins that cross-link polymer segments with particular properties. Bridging can induce a collapse of the nucleosome chain and associated factors into an ordered globular phase. The other mechanism is based on multivalent interactions among soluble molecules that bind to chromatin. These interactions can induce liquid-liquid phase separation, which drives the assembly of liquid-like nuclear bodies around the respective binding sites on chromatin. Both phase separation mechanisms can explain that chromatin bodies are dynamic spherical structures, which can coalesce and are in constant and rapid exchange with the surrounding nucleoplasm."
chromatin_compartment,phasepro,euchromatin,A dispersed and relatively uncompacted form of chromatin that is in a transcription-competent conformation.
chromogranin_condensate,cdcode,Chromogranin condensates,Chromogranin condensates are liquid-like assemblies forming in the lumen of the Trans Golgi Network.  The mildly acidic environment inside the Golgi lumen promotes the formation of these condensates and recruits the clients proteins like proinsulin. The formation of liquid-like assemblies provides a mechanism for a receptor-independent sorting of cargo molecules.
chromogranin_condensate,cdcode,Large dense-core vesicles,"Large dense-core vesicles (LDCVs) are large vesicles filled with multiple neuropeptides, hormones, and neurotransmitters that participate in various physiological processes. The formation of these vesicles is sensitive to pH and Ca2+ concentration"
cleavage_body,cdcode,Cleavage body,"Cleavage bodies are nuclear bodies which contain factors that are necessary for RNA transcription and/or processing. Cleavage bodies often colocalize with other nuclear bodies, such as DDX1 body and Cajal body"
cleavage_body,drllps,Cleavage body,"Cleavage bodies is a kind of nuclear PMLO (proteinaceous membrane-less organelles) located in Nucleus, It contains no DNA or RNA and it is fluid shaped as a spherical, it is associated with RNA metabolism, potentially serves as storage/assembly sites for proteins involved in transcription, splicing 3â-end processing of pre-mRNAs, and RNA degradation. They are formed as a result of highly regulated and reversible liquid-liquid demixing phase separation and represent condensed liquid droplets, which are invariantly enriched in intrinsically disordered proteins."
cojusome,cdcode,Cojusome,"The conjusome plays an important role in the conjugation events that occur in Tetrahymena thermophila. The conjusome appears in the anterior of conjugant pairs during the early stages of new macronuclei (anlagen) development. It lacks a membrane, and is composed of a network of fibrous, electron dense material, containing background cytoplasm and ribosomes. Several proteins localize to this organelle, including Pdd1p, a chromodomain protein that participates in the formation of chromatin-containing structures in developing macronuclear anlagen"
collagen-containing_extracellular_matrix,phasepro,collagen-containing extracellular matrix,"An extracellular matrix consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that provides not only essential physical scaffolding for the cellular constituents but can also initiate crucial biochemical and biomechanical cues required for tissue morphogenesis, differentiation and homeostasis. The components are secreted by cells in the vicinity and form a sheet underlying or overlying cells such as endothelial and epithelial cells."
contractile_ring,cdcode,Contractile ring condensate,"As the final stage of cell cycle, actin filaments, myosin-II (Myo2), and numerous other proteins form a cytokinetic contractile ring that invaginates the plasma membrane to form a furrow that cleaves the cell into two daughter cells, this process is known as cytokinesis. Anillins are scaffold proteins of cytokinesis organizing center and their impairment impairs cytokinesis in the fission yeast Schizosaccharomyces pombe, resulted from aberrant contractile rings."
contractile_ring,phasepro,contractile ring,"A cytoskeletal structure composed of filamentous protein that forms beneath the membrane of many cells or organelles, in the plane of cell or organelle division. Ring contraction is associated with centripetal growth of the membrane that divides the cytoplasm of the two daughter cells or organelles."
cytoplasmic_microtubule,phasepro,cytoplasmic microtubule,Any microtubule in the cytoplasm of a cell.
cytoplasmic_protein_granule,cdcode,Cytoplasmic bodies,CBs is a collective term used for biomolecular condensates with members of ubiquitin ligases components. CBs are speculated function as aggresome precursors or storage compartments that segregate potentially harmful excess ubiquitin ligases molecules from the cytosol dilute phase.
cytoplasmic_rnp_granule,cdcode,Cpeb1b-Pabpc1b-shh Condensate,"The condensate forms from Cpeb1b, Pabpc1b, Tent2, and shha mRNA in zebrafish, exhibiting liquid-like properties. It is necessary for cytoplasmic polyadenylation of shha mRNA, promoting Hedgehog signaling and supporting hematopoiesis during zebrafish embryogenesis."
cytoplasmic_rnp_granule,cdcode,CPEB4 granule,"The intrinsically disordered regions in the N-terminal domain of the unphosphorylated CPEB4 phase separate into inactive, liquid-like droplets, CPEB4 granules. This process is coordinated by Cdk1 through inactivating CPEB1 while activating CPEB4, controlling the dynamic and reversible regulation of CPEB4 with that of CPEB1, integrating phase-specific signal transduction pathways to control cell cycle progression."
cytoplasmic_rnp_granule,cdcode,Cytoplasmic protein granule,Phase separated cytoplasmic proteins forming aggregates in the cytoplasm. A hallmark of neurodegenerative diseases is the accumulation of cytoplasmic protein aggregates in neurons.
cytoplasmic_rnp_granule,cdcode,Ddx3xb condensates,Ddx3xb condensates are ATP- and IDR-dependent assemblies identified in developing zebrafish embryos. The maintenance of liquid-like properties has been shown to facilitate mRNA translation during Maternal-to-zygotic (MZT) in early embryos.
cytoplasmic_rnp_granule,cdcode,FXR1 condensates,FXR1 undergoes phase separation to form mRNP granules in Late Spermatids (LS) and are indispensable for the male fertility in mice. FXR1 recruits translation factors like ELF4G3 into the condensates. The fusion of these FXR1 condensates with RNP granules in germ cells activate the translation of the stored mRNA .
cytoplasmic_rnp_granule,cdcode,MEX3B granule,"With MEX3B identified as a constituent of P-bodies, additional non-colocalizing condensates composed of labeled MEX3B are observed in MCF7 cells."
cytoplasmic_rnp_granule,cdcode,RNP granule,RNP granules are membrane-less organelles composed of RNA and proteins. RNA-binding proteins are key components of RNP granules. RNP granules deliver localized mRNAs delivered to areas of local protein synthesis.
cytoplasmic_rnp_granule,cdcode,Translational Condensate,"In yeast, translational condensates are specialized, membraneless compartments that form in response to cellular stress"
cytoplasmic_rnp_granule,cdcode,WHI3 cluster,WHI3 undergoes phase separation to form droplets with different biophysical properties. The properties of WHI3 droplets and their phase separation depends on different RNAs which interact with WHI3.
cytoplasmic_rnp_granule,phasepro,cytoplasmic protein granule,
cytoplasmic_rnp_granule,phasepro,cytoplasmic ribonucleoprotein granule,A ribonucleoprotein granule located in the cytoplasm.
d_granule,cdcode,D-granule,"Condensation of DIAPH3 proteins upon cellular stress, named as ""D-granule"
ddx1_body,cdcode,DDX1 body,"DDX1 body is a type of nuclear bodies. DDX1 bodies contain the protein DEAD box DDX1 protein, which  is a potential RNA unwinding protein linked to RNA processing and transport. Cleavage bodies and DDX1 bodies are frequently found colocalizing in the nucleus."
ddx1_body,drllps,DDX1 body,"Eukaryotic cells are inhomogeneously crowded with biological macromolecules (proteins and nucleic acids) and often contain numerous cellular bodies, including proteinaceous membrane-less organelles (PMLOs), They are formed as a result of highly regulated and reversible liquid-liquid demixing phase separation and represent condensed liquid droplets, which are invariantly enriched in intrinsically disordered proteins, DDX1 bodies is a kind of these bodies located in nucleus, It is fluid and related to the pre-mRNA processing."
degradosome,cdcode,Degradosome,"Escherichia coli

Membrane-associated RNP assembly in Escherichia coli, involved in ribosomal RNA (rRNA) processing and mRNA degradation. Composed of three central components: RNA helicase B, RNase E and Polynucleotide phosphorylase (PNPase). Activity regulated by bacterial, regulatory small RNAs (sRNA). Synonymous with 'BR-bodies' described in other bacterial species. Evidence for most components listed as members is co-purification with RNase E."
dna_damage_foci,cdcode,53BP1 Mitotic Stress Body (MSBs),"53BP1 Mitotic Stress Bodies (MSBs) are phase-separated condensates formed during mitotic stress in human cancer cells, primarily near centromeres. MSBs are driven by p53, are associated with DNA, and play a role in DNA repair and mitotic stress response."
dna_damage_foci,cdcode,DNA damage foci,"Double-strand breaks can be caused by a variety of physical and chemical factors, such as ionizing radiation and radiomimetic medicines, but they can also develop as secondary lesions during replication and DNA repair after exposure to a variety of genotoxins. Repair proteins aggregate at damaged areas in response to double strand breaks (DSB), forming membrane-less  subnuclear foci, supporting DNA repair."
dna_damage_foci,cdcode,PARP1-DNA condensate,"A phase-separated biomolecular assembly is established at sites of DNA damage, primarily mediated by poly(ADP-ribose) polymerase 1 (PARP1) and its affinity for double-stranded DNA. The condensate functions to stabilize broken DNA ends, promote the recruitment of repair factors, and is subject to regulation by PARP1-mediated PARylation, which facilitates disassembly following the completion of repair."
dna_damage_foci,cdcode,SOSS-INTAC Condensate,The SOSS-INTAC condensate is a nuclear condensate. It regulates R-loop levels and facilitates genome stability. This condensate participates in preventing transcription-replication conflicts
dna_damage_foci,cdcode,SSB condensate,"Bacterial single-stranded DNA binding protein (SSB) form condenates that are described to store DNA repair proteins that interact with SSB. It was shoiwn that levated levels of single-stranded DNA during genomic stress might dissolve SSB condensates, enabling rapid mobilization of SSB and SSB-interacting proteins to sites of DNA damage."
dna_damage_foci,cdcode,TopBP1 condensate,TopBP1 condensates are reversible and were shown to fuse. TopBP1 condensation is proposed to act as a molecular switch that amplifies ATR activity.
dna_damage_foci,drllps,DNA damage foci,"DNA damage response proteins such as γH2AX, ATM, 53BP1, RAD51, and the MRE11/RAD50/NBS1 complex, that accumulate and/or are modified in the vicinity of a chromosomal DNA double-strand break to form microscopically visible, subnuclear foci called DNA damage foci, also called (ionizing) radiationâinduced foci (IRIF or RIF) or DNA repair foci. The discovery of DNA damage foci has opened a new dimension to the field of DNA damage signaling. Analysis of the spatiotemporal dynamics of DSB induction and repair in situ or even in live cells has now become a standard method in many different fields."
dna_damage_foci,phasepdb,DNA damage foci,"There are a number of different names in use for DNA damage foci, such as (ionizing) radiation-induced foci (IRIF or RIF) or DNA repair foci. In general they all refer to local accumulations or modifications of DNA damage response proteins that form at the sites of DNA double-strand breaks and can be visualized through microscopic imaging following immunocyto- or -histochemical detection or fluorescent protein tagging. The first and most prominent protein for which foci formation at the site of a double strand break was described is the histone variant H2AX which gets phosphorylated at its C-terminal Ser-139 residue by the DNA damage-activated kinases ATM, ATR, and DNA-PK to form γH2AX. γH2AX then acts as a docking station for other DNA damage signaling factors such as MDC1 and 53BP1 which accumulate to form foci in a histone-modification-dependent manner[1]. IRIF are dynamic structures containing thousands of copies of proteins involved in various aspects of DSB repair and signaling. These proteins include phosphorylated ATM, 53BP1, MDC1, RAD51, MRN complex (MRE11/RAD50/NBS1), RNF8/KIAA0646, RNF168, and BRCA1-A complex (BRCA1, BARD1, UIMC1/RAP80, FAM175A/Abraxas, BRCC3/BRCC36, BRE/BRCC45 and MERIT40/NBA1)[2]."
dps_condensate,cdcode,Dps condensate,Dps (DNA-binding protein from starved cells) is the most abundant protein component of the nucleoid formaing condensates. Dps compacts DNA into a dense complex and protects it from damage and acts as a regulator of transcription.
elastin_granule,cdcode,Elastin granule,Monomers in elastin can phase separate and self-assemble into polymer networks with elasticity and robustness.
elva,cdcode,ELVA,"EndoLysosomal Cesicular Assemblies (ELVAs) are large, protein-rich compartments found in mouse oocytes. They sequester aggregated proteins and are characterized by the presence of lysosomal and autophagic markers. ELVAs are driven by the protein RUFY1, which forms a structural matrix within these assemblies."
endocytic_condensate,cdcode,Ede1 condensate,Ede1 is an endocytic  protein. Excess Ede1 in yeast cells phase separates into large condensates which  are able recruit other endocytic proteins.
endocytic_condensate,cdcode,Endocytic condensates,"Endocytic condensates are membraneless compartments formed by endocytic coat proteins containing prion-like domains. These condensates assemble at the plasma membrane to organize proteins, which helps drive membrane invagination for cellular uptake through endocytosis."
enhanceosome,phasepro,enhanceosome,A protein-DNA complex formed by the association of a distinct set of general and specific transcription factors with a region of enhancer DNA. The cooperative assembly of an enhanceosome confers specificity of transcriptional regulation.
enhancer_condensate,cdcode,Enhancer cluster,Enhancers are key regulatory elements that govern gene expression programs in response to developmental signals. TGF β pathway drives the assembly of an enhancer-cluster and precise gene activation. TGF β pathway coactivator JMJD3 is essential to maintain these structures.
enhancer_condensate,cdcode,MegaTrans enhancer complex,MegaTrans components (ESR1 and GATA3) are shown to phase separate and form micro-sized condensates in the presence of  5% polyethylene glycol asa crowding agent.
enhancer_condensate,phasepdb,enhancer condensate,"In human breast cancer cells, the acute 17β-estradiol-dependent activation of functional enhancers requires assembly of an enhancer RNA-dependent ribonucleoprotein (eRNP) complex exhibiting properties of phase-separated condensates. While acute ligand-dependent assembly of eRNPs resulted in enhancer activation sensitive to chemical disruption of phase separation, chronically activated enhancers proved resistant to such disruption, with progressive maturation of eRNPs to a more gel-like state. Acute, but not chronic, stimulation resulted in ligand-induced, condensin-dependent changes in spatial chromatin conformation based on homotypic enhancer association, resulting in cooperative enhancer-activation events."
enhancer_condensate,phasepro,nuclear bodies that occur at super enhancers in mESCs,
eres_condensate,cdcode,ERES,"ERESs (endoplasmic reticulum (ER) exit sites) are dynamic, liquid-like condensates formed by the phase separation of SEC16A and other early secretory pathway proteins. These condensates are described to be sensitive to the concentration of the kinase DYRK3. The SEC16A protein, particularly its intrinsically disordered regions (IDRs), plays a role in driving the liquid-liquid phase separation (LLPS) that forms these condensates"
escrt_condensate,cdcode,ESCRTs,ESCRT condensate  in yeast refers to the biomelcular condensate  formed by the early components of the Endosomal Sorting Complex Required for Transport (ESCRT) machinery at the membrane of the yeast lysosome or endosomes
exosomal_condensate,cdcode,SDC4 exosomal condensate,cell-membrane associated condensate driven by SDC4 critical for exosome formation and secretion
extracellular_matrix,phasepro,extracellular matrix,"A structure lying external to one or more cells, which provides structural support, biochemical or biomechanical cues for cells or tissues."
ferritin_condensate,cdcode,Ferritin-NCOA4 condensate,Ferritin–NCOA4 condensate formation is driven by NCOA4 self-interaction and responsible for ferritin degradation. These condesates are common substrates for macroautophagy and endosomal microautophagy.
frq_condensate,cdcode,FRQ condensate,"FRQ phase separates in a temperature-dependent manner, altering its phosphorylation by CK1."
ftsz_droplet,cdcode,FtsZ condensate,"When encapsulated in artificial cell-like systems created by microfluidics and under specific circumstances, such as being in a GDP-bound state and on conditions simulating the crowded environment of the cytoplasm that promote its oligomerization, bacterial FtsZ can undergo phase separation and form condensates."
ftsz_droplet,cdcode,FtsZ/SlmA body,FtsZ/SlmA  body is a bacterial nucleoprotein complex condensate which forms upon the interaction of FtsZ with SlmA. This condensate is dynamic and has liquid-liquid phase separation features.
ftsz_droplet,phasepro,Ftsz-rich droplets at specific chromosomal DNA sites,
